,0
Informative posts,"['case', 'new', 'variant', 'covid', 'vaccin', 'report', 'death', 'omicron', 'health', 'via', 'canada']"
Informative questions,"['covid', 'vaccin', 'test', 'curiou', 'get', 'wait', 'know', 'instanc', 'mouth', 'sampl', 'vancouversun']"
Jokes and sarcasm,"['covid', 'variant', 'lol', 'new', 'omicron', 'get', 'name', 'well', 'cough', 'pleas', 'shot']"
Critique and opinions,"['covid', 'vaccin', 'get', 'peopl', 'variant', 'need', 'new', 'stop', 'test', 'health', 'way']"
Compassion and sentiment,"['covid', 'get', 'mask', 'year', 'vaccin', 'time', 'week', 'thank', 'end', 'kid', 'shot']"
Remove,"['100k', '13th', '151m', '1777root', '1in5advocaci', '1million', '1st', '28th', '2nd', '3a', '3m']"
